,minimum_sample_split,n_estimators,minimum_sample_leaf,minimum_impurity_decrease,training_accuracy,testing_accuracy,accuracy_differences
203,9,30,0.36000000000000004,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
204,9,30,0.41000000000000003,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
205,9,30,0.41000000000000003,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
206,9,30,0.41000000000000003,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
207,9,30,0.46,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
208,9,30,0.46,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
209,9,30,0.46,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
210,9,30,0.51,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
211,9,30,0.51,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
212,9,30,0.51,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
213,9,30,0.56,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
214,9,30,0.56,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
215,9,30,0.56,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
216,9,30,0.6100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
217,9,30,0.6100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
218,9,30,0.6100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
219,9,30,0.66,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
220,9,30,0.66,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
221,9,30,0.66,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
222,9,30,0.7100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
223,9,30,0.7100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
224,9,30,0.7100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
225,9,30,0.76,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
226,9,30,0.76,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
227,9,30,0.76,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
228,9,30,0.81,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
229,9,30,0.81,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
230,9,30,0.81,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
231,9,30,0.8600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
232,9,30,0.8600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
233,9,30,0.8600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
234,9,30,0.91,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
235,9,30,0.91,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
236,9,30,0.91,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
237,9,30,0.9600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
238,9,30,0.9600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
239,9,30,0.9600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
240,11,30,0.01,0.0,0.8938953488372093,0.8869565217391304,0.006938827098078915
241,11,30,0.01,0.05,0.8197674418604651,0.8217391304347826,0.0019716885743175094
242,11,30,0.01,0.1,0.8197674418604651,0.8217391304347826,0.0019716885743175094
243,11,30,0.060000000000000005,0.0,0.8531976744186046,0.8782608695652174,0.025063195146612816
244,11,30,0.060000000000000005,0.05,0.8386627906976745,0.8521739130434782,0.013511122345803761
245,11,30,0.060000000000000005,0.1,0.8328488372093024,0.8434782608695652,0.010629423660262871
246,11,30,0.11,0.0,0.8415697674418605,0.8391304347826087,0.0024393326592517806
247,11,30,0.11,0.05,0.8270348837209303,0.8565217391304348,0.029486855409504575
248,11,30,0.11,0.1,0.8372093023255814,0.8521739130434782,0.014964610717896787
249,11,30,0.16000000000000003,0.0,0.8372093023255814,0.8521739130434782,0.014964610717896787
250,11,30,0.16000000000000003,0.05,0.8284883720930233,0.8391304347826087,0.010642062689585452
251,11,30,0.16000000000000003,0.1,0.8313953488372093,0.8347826086956521,0.0033872598584427926
252,11,30,0.21000000000000002,0.0,0.8183139534883721,0.8347826086956521,0.016468655207280025
253,11,30,0.21000000000000002,0.05,0.8226744186046512,0.8347826086956521,0.012108190091000948
254,11,30,0.21000000000000002,0.1,0.8372093023255814,0.8521739130434782,0.014964610717896787
255,11,30,0.26,0.0,0.8284883720930233,0.8347826086956521,0.006294236602628844
256,11,30,0.26,0.05,0.8299418604651163,0.8565217391304348,0.026579878665318524
257,11,30,0.26,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
258,11,30,0.31000000000000005,0.0,0.7281976744186046,0.782608695652174,0.054411021233569334
259,11,30,0.31000000000000005,0.05,0.7136627906976745,0.7608695652173914,0.04720677451971689
260,11,30,0.31000000000000005,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
261,11,30,0.36000000000000004,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
262,11,30,0.36000000000000004,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
263,11,30,0.36000000000000004,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
264,11,30,0.41000000000000003,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
265,11,30,0.41000000000000003,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
266,11,30,0.41000000000000003,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
267,11,30,0.46,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
268,11,30,0.46,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
269,11,30,0.46,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
270,11,30,0.51,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
271,11,30,0.51,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
272,11,30,0.51,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
273,11,30,0.56,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
274,11,30,0.56,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
275,11,30,0.56,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
276,11,30,0.6100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
277,11,30,0.6100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
278,11,30,0.6100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
279,11,30,0.66,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
280,11,30,0.66,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
281,11,30,0.66,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
282,11,30,0.7100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
283,11,30,0.7100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
284,11,30,0.7100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
285,11,30,0.76,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
286,11,30,0.76,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
287,11,30,0.76,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
288,11,30,0.81,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
289,11,30,0.81,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
290,11,30,0.81,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
291,11,30,0.8600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
292,11,30,0.8600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
293,11,30,0.8600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
294,11,30,0.91,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
295,11,30,0.91,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
296,11,30,0.91,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
297,11,30,0.9600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
298,11,30,0.9600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
299,11,30,0.9600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
300,13,30,0.01,0.0,0.8866279069767442,0.8739130434782608,0.012714863498483386
301,13,30,0.01,0.05,0.8343023255813954,0.8478260869565217,0.013523761375126342
